species.updated,population_ID,source,location,broader.migration.2
Alle alle,9,Jakubas & Wojczulanis 2007,"Ariekammen slopes (77°00’N, 15°33’E) in Hornsund (South Spitsbergen)",no
Alle alle,10,Roby et al. 1981,"Atholl Loran Station or 12 km southeast of Cape Atholl (76°18.5'N, 69°17'W) and 3 km west of Siorapaluk (77""47'N7, 0'45'W)",yes
Calidris maritima,48,Dierschke 1995,"Raufarhofn, Melrakkasletta, north Iceland",no
Calidris maritima,49,Dierschke 1995,Southern Norway (Hardangervidda),yes
Calidris maritima,50,Dierschke 1995,"Northern Norway (near Tromso, Troms, and Nordkinnhalvoya and Bekkarfjord, Finnmark)",no
Calidris maritima,51,Dierschke 1995,Svalbard (Longyearbyen and Ny Alesund),yes
Calidris maritima,52,Dierschke 1995,Franz-Josef-Land,yes
Calidris maritima,53,Summers 2009,"Reykjanes Peninsula, southwest iceland",no
Falco columbarius,137,Warkentin et al. 1992,"Saskatoon, Saskatchewan, Canada",no
Falco columbarius,137,Warkentin et al. 2016,"Saskatoon, Saskatchewan, Canada (52°070 N, 106°380 W)",no
Falco columbarius,138,Wiklund 1996,"""Padjelanta and Stora Sjiifallet National Parks N Sweden (67° N, 17° E)""",yes
Haematopus ostralegus,152,Rusticali et al. 2002,"Po Delta and in the Venetian Lagoon (northeast Italy: 45°15?N, 12°10?E to 44°49?N, 12°17?E)",yes
Haematopus ostralegus,153,Rusticali et al. 2002,Netherlands E Wadden Sea,no
Haematopus ostralegus,154,Rusticali et al. 2002,"Great Britain, Skokholm",no
Charadrius alexandrinus,315,Kuepper et al. 2009,free living birds from Ceuta (Mexico),no
Charadrius alexandrinus,316,Kuepper et al. 2009,free living birds from Al-Wathba (UAE),no
Charadrius alexandrinus,317,Kuepper et al. 2009,free living birds from Donana (Spain),no
Charadrius alexandrinus,318,Kuepper et al. 2009,free living birds from Tuzla (Turkey),yes
Charadrius alexandrinus,319,Kuepper et al. 2009,free living birds from Miklapuszta (Hungary),yes
